id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
24,South Ribble,68 : Property,"Sullivan, Miles, Russell, White, Barnes-Robson",0-632k,1,United Kingdom,0,12.01168072,9.928723252,E07000126,South Ribble,0.357307573,0.020644673,,68,L,Property,Warehouse
25,Wirral,"90-99 : Arts, entertainment, recreation & other","Jones, Walker, Begum, Chambers, Lane, Pope, Adams",0-632k,0,United Kingdom,0,12.78457768,23.97569179,E08000015,Wirral,0.466438254,0.015451142,,90-99,S,"Arts, entertainment, recreation & other",Warehouse
26,Westminster,68 : Property,"Miles, Evans, Lloyd, Osborne, Hussain",0-632k,1,United Kingdom,0,4.623633298,3.792844228,E09000033,Westminster,0.107282862,0,,68,L,Property,Shop
27,Hammersmith and Fulham,"90-99 : Arts, entertainment, recreation & other","Pearson, Williams, Naylor, Young, Smith-Parkes",0-632k,1,United Kingdom,0.037585438,38.59004034,40.98950685,E09000013,Hammersmith and Fulham,0.62401843,0.073775918,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
28,North Lanarkshire,77-82 : Business administration & support services,"Wood-Roberts, Begum, Davidson, Slater, Briggs-Brown",0-632k,1,United Kingdom,,,,S12000044,North Lanarkshire,,,,77-82,N,Business administration & support services,Office
29,Scottish Borders,49-53 : Transport & Storage (inc. postal),"Cole, Turner, Perkins, Wright, Fraser-O'Sullivan",0-632k,1,United Kingdom,,,,S12000026,Scottish Borders,,,,49-53,H,Transport & Storage (inc. postal),Warehouse
30,Haringey,47 : Retail,"Fisher-Davies, Edwards, Wright, Walker, Green",0-632k,1,United Kingdom,0,1.289340512,1.219826616,E09000014,Haringey,0.138139649,0,,47,G,Retail,Shop
31,"Newry, Mourne and Down","69-75 : Professional, scientific & technical","Allen, Lewis, Ward, Smith, Reynolds-Walker",0-632k,1,United Kingdom,,,,N09000010,"Newry, Mourne and Down",,,,69-75,M,"Professional, scientific & technical",Other
32,City of Edinburgh,"69-75 : Professional, scientific & technical","Thomas, Chambers-Collins, Parker, Ahmed Ross-Forster",632k-10.2M,0,United Kingdom,,,,S12000036,City of Edinburgh,,,,69-75,M,"Professional, scientific & technical",Other
33,Wokingham,41-43 : Construction,"Morgan, Phillips, Power, Swift, Hudson-Baldwin",0-632k,0,United Kingdom,0,5.864414984,4.079906387,E06000041,Wokingham,0.340052151,0,,41-43,F,Construction,Shop
34,"Bristol, City of",86-88 : Health,"Roberts-Lynch, Morton, Ward-Swift, Stevens, Price-Hussain",0-632k,1,United Kingdom,0,2.35170865,2.107259867,E06000023,"Bristol, City of",0.625704966,0,,86-88,Q,Health,Shop
35,Buckinghamshire,58-63 : Information & communication,"Hughes-Phillips, Barker, Ellis-Green, Davies, Saunders, Begum, Cross",0-632k,1,United Kingdom,0,2.836428403,2.835608681,E10000002,Buckinghamshire,0.062827609,0,,58-63,J,Information & communication,Shop
36,Brent,77-82 : Business administration & support services,"Hill, Rahman, Hughes-King, Jones Owen-Palmer",0-632k,1,United Kingdom,0,2.448131629,2.032979212,E09000005,Brent,0.114044504,0,,77-82,N,Business administration & support services,Shop
37,Cheshire West and Chester,"69-75 : Professional, scientific & technical","Brown-Kaur, Davies, Austin, Sutton, Miller, Francis, Nicholson",0-632k,1,United Kingdom,0,9.13364076,12.07088151,E06000050,Cheshire West and Chester,0.421424445,0,,69-75,M,"Professional, scientific & technical",Office
38,Warwick,58-63 : Information & communication,"Spencer, Rogers, Davies, Wade, Clarke",0-632k,1,United Kingdom,0,12.54196063,13.20844049,E07000222,Warwick,0.340267656,0.119664826,,58-63,J,Information & communication,Warehouse
39,Derbyshire Dales,55-56 : Accommodation & food services,"Thompson-Roberts, Clarke, Jackson, Jones, Hughes, Bailey, Woods",0-632k,1,United Kingdom,0,2.903288012,4.625781585,E07000035,Derbyshire Dales,0.281238381,0,,55-56,I,Accommodation & food services,Shop
40,"Bristol, City of",41-43 : Construction,"Chan-Hunt, Whittaker, Parry-Wilson, Hobbs Coles, Taylor, Martin",0-632k,1,United Kingdom,0,4.75988235,4.066323358,E06000023,"Bristol, City of",0.36847895,0,,41-43,F,Construction,Office
41,Harrow,41-43 : Construction,"Gallagher, Wilson, Spencer-Franklin, Fuller-Roberts Wells-Hussain",0-632k,1,United Kingdom,0,0.927960316,1.298481866,E09000015,Harrow,0.082567823,0,,41-43,F,Construction,Shop
42,Hertsmere,41-43 : Construction,"Williams, Ryan-Stone, Smith, Kerr, Smith-Holmes",0-632k,1,United Kingdom,0,10.64305384,11.11858046,E07000098,Hertsmere,0.555995175,0,,41-43,F,Construction,Office
43,Newport,45 : Motor trades,"Green-Long, Henderson, Goddard, Davison, Ford",0-632k,1,United Kingdom,0,29.0026081,33.62582466,W06000022,Newport,2.147323335,0.368427213,,45,G,Motor trades,Warehouse
44,Barnsley,"90-99 : Arts, entertainment, recreation & other","Dunn, Smith, Smith-Thomas, Hewitt Francis, Birch, Wilson",0-632k,1,United Kingdom,0,8.199868807,17.96880552,E08000016,Barnsley,0.317250626,0,,90-99,S,"Arts, entertainment, recreation & other",Office
45,Bath and North East Somerset,58-63 : Information & communication,"Begum, Jones, Robinson, Smith, Burton, Marsden, Dickinson",0-632k,1,United Kingdom,0,2.007857177,1.974823098,E06000022,Bath and North East Somerset,0.033871518,0,,58-63,J,Information & communication,Shop
46,Wandsworth,41-43 : Construction,"Miller-Power, Hancock, Sutton, Newman, Walker",0-632k,1,United Kingdom,0,1.48245891,2.072424801,E09000032,Wandsworth,0.058939317,0,,41-43,F,Construction,Shop
47,Lancaster,"01-03 : Agriculture, forestry & fishing","Jones, Carter, Hughes, Hunt, Edwards-Cooper",0-632k,1,United Kingdom,0.000376002,12.33392689,13.08719905,E07000121,Lancaster,0.108751921,0.01091845,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
48,Ribble Valley,64-66 : Finance & insurance,"Lane, Robinson, Williamson-Hale, Reid-Norman Mitchell, Lynch, Blackburn",0-632k,1,United Kingdom,0,5.886574779,3.76853839,E07000124,Ribble Valley,0.019621802,0,,64-66,K,Finance & insurance,Shop
49,Uttlesford,41-43 : Construction,"Bartlett, Burns, Chambers, Williams-Nixon, Ward-Payne",0-632k,1,United Kingdom,0,17.95236134,11.75997029,E07000077,Uttlesford,0.640031671,1.039905544,,41-43,F,Construction,Factory
50,Mendip,"69-75 : Professional, scientific & technical","Wade, Simpson, Oliver, Robertson, Wallace-Howell",0-632k,0,United Kingdom,0,18.24311913,13.68411239,E07000187,Mendip,0.655941349,0.270831766,,69-75,M,"Professional, scientific & technical",Factory
51,Leeds,"69-75 : Professional, scientific & technical","Stone-Akhtar, Howard, Kirk, Donnelly, Kaur-Hilton",632k-10.2M,1,United Kingdom,0,3.190888097,2.425455636,E08000035,Leeds,0.22133134,0,,69-75,M,"Professional, scientific & technical",Shop
52,Havering,41-43 : Construction,"Hodgson, Lewis-Anderson, Mason-Allen, Collins-Woods Phillips, Ali, Anderson",0-632k,1,United Kingdom,0,39.40306769,28.5348911,E09000016,Havering,0.35914112,0.299726716,,41-43,F,Construction,Other
53,Manchester,47 : Retail,"Watkins-Walker, Murphy, O'Donnell, Savage, Lawrence-Wilson",0-632k,1,United Kingdom,0,17.86175632,13.24472587,E08000003,Manchester,1.650307429,0.720751014,,47,G,Retail,Warehouse
54,Breckland,41-43 : Construction,"Ward-Pratt, Francis, Pearson, Payne, Carpenter, Richards, Summers",0-632k,1,United Kingdom,0,9.093217836,5.34550694,E07000143,Breckland,0.8381866,0.441719338,,41-43,F,Construction,Warehouse
55,Waltham Forest,47 : Retail,"Henderson, Hughes, Gibson, Cooper, Rogers-Rogers",0-632k,1,United Kingdom,0,1.004149583,1.175320067,E09000031,Waltham Forest,0.117945976,0,,47,G,Retail,Shop
56,East Hertfordshire,"90-99 : Arts, entertainment, recreation & other","Long, Williams, Ferguson, Mills, Connor",0-632k,1,United Kingdom,0,3.818068419,4.365458316,E07000242,East Hertfordshire,0.132100505,0,,90-99,R,"Arts, entertainment, recreation & other",Office
57,Harrogate,47 : Retail,"Davies-Townsend, Burns, Martin-Bryan, Turner-Hall Collins-Lee",632k-10.2M,1,United Kingdom,0,24.49497144,22.44825966,E07000165,Harrogate,1.60151558,0.450978191,,47,G,Retail,Factory
58,Newark and Sherwood,05-39 : Production,"Shaw, Archer, Rose-Hussain, Reynolds-Roberts Stewart-Jones",632k-10.2M,0,United Kingdom,6.485098728,16.28970398,44.34089557,E07000175,Newark and Sherwood,12.1769105,0.582864384,,May-39,C,Production,Factory
59,Belfast,"90-99 : Arts, entertainment, recreation & other","Howard, Pope, Mills, Brown, Barnes-Davis",0-632k,1,United Kingdom,,,,N09000003,Belfast,,,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
60,Islington,58-63 : Information & communication,"Stokes, Johnson, Hart, Farmer, Wong, Richardson, Brown",0-632k,1,United Kingdom,0,2.022078895,1.833710132,E09000019,Islington,0.036279858,0,,58-63,J,Information & communication,Office
61,South Cambridgeshire,"69-75 : Professional, scientific & technical","Spencer, Evans, Price, Gardiner, Skinner",0-632k,1,United Kingdom,0,13.37416549,10.17083597,E07000012,South Cambridgeshire,0.605514478,0.034313801,,69-75,M,"Professional, scientific & technical",Warehouse
62,Southend-on-Sea,05-39 : Production,"Ward, Parkinson, Fisher, Jones, Davies-Gordon",0-632k,1,United Kingdom,0,5.563657552,3.877152084,E06000033,Southend-on-Sea,12.33301714,0,,May-39,D,Production,Office
63,Westminster,"69-75 : Professional, scientific & technical","Foster-Lewis, Gray, Young, Baker, Long",0-632k,1,United Kingdom,0,3.002572702,2.098000166,E09000033,Westminster,0.083565503,0,,69-75,M,"Professional, scientific & technical",Office
64,Aberdeenshire,58-63 : Information & communication,"Hodgson, Dunn, Williams, Singh-Butler, Williams, Hussain, Vincent",0-632k,1,United Kingdom,,,,S12000034,Aberdeenshire,,,,58-63,J,Information & communication,Office
65,Plymouth,41-43 : Construction,"Smith, Francis, Bradley, Sanders-Hall, Burke, Hart, Bennett",0-632k,1,United Kingdom,0,2.362007585,3.097439372,E06000026,Plymouth,0.205931223,0,,41-43,F,Construction,Shop
66,Redbridge,41-43 : Construction,"Ward-Daly, Hughes, Gilbert, Pearson, Whitehouse",0-632k,1,United Kingdom,0,1.031927368,0.940940356,E09000026,Redbridge,0.063455901,0,,41-43,F,Construction,Shop
67,Buckinghamshire,49-53 : Transport & Storage (inc. postal),"Gibbs, Andrews, Palmer, Wilson, Davies-Wood",0-632k,1,United Kingdom,0.028995977,21.57355988,17.43439947,E10000002,Buckinghamshire,0.245482803,1.540349659,,49-53,H,Transport & Storage (inc. postal),Factory
68,North East Lincolnshire,77-82 : Business administration & support services,"Fisher, Wheeler, Rhodes, Harris, Williams-Green",632k-10.2M,0,United Kingdom,0,23.86517274,58.77658297,E06000012,North East Lincolnshire,0.59579158,0.251072849,,77-82,N,Business administration & support services,Factory
69,Malvern Hills,47 : Retail,"Jones-Jackson, Harrison, Turner, Owen, Harris, Howell, Brown",0-632k,1,United Kingdom,0,11.07711573,5.829049995,E07000235,Malvern Hills,0.794544579,0.177355786,,47,G,Retail,Factory
70,Stroud,47 : Retail,"Johnson-Carter, Smith, Metcalfe, Mason, Hutchinson-Graham",632k-10.2M,1,United Kingdom,0,9.463600834,8.310074773,E07000082,Stroud,0.947862364,0.246964925,,47,G,Retail,Warehouse
71,East Lindsey,"01-03 : Agriculture, forestry & fishing","Patel, Brown, Davies, Mason, Kent",0-632k,1,United Kingdom,0,2.230543152,1.181191773,E07000137,East Lindsey,0.016940455,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
72,East Ayrshire,46 : Wholesale,"Mills, Norman, Mason, Marsden, Singh-Bentley",0-632k,1,United Kingdom,,,,S12000008,East Ayrshire,,,,46,G,Wholesale,Shop
73,County Durham,"69-75 : Professional, scientific & technical","Ellis, Baxter, Walker, Field Thomson, Richardson, Smith",0-632k,1,United Kingdom,0,2.244803183,2.962354,E06000047,County Durham,0.183322782,0,,69-75,M,"Professional, scientific & technical",Shop
74,Wolverhampton,77-82 : Business administration & support services,"Palmer-Rose, Kennedy, Wyatt, Lee, Lewis-Davies",0-632k,1,United Kingdom,0,2.285036138,3.096567335,E08000031,Wolverhampton,0.127121939,0,,77-82,N,Business administration & support services,Shop
75,Reading,77-82 : Business administration & support services,"Wall, Kerr, Baldwin, Jackson, Russell, Brown, Smith",0-632k,1,United Kingdom,0,3.519328195,3.086773502,E06000038,Reading,0.136024237,0,,77-82,N,Business administration & support services,Shop
76,Enfield,49-53 : Transport & Storage (inc. postal),"Andrews-Evans, Robinson-Sutton, Oliver, Ellis, Ward, Warren, Green",0-632k,1,United Kingdom,0.047859089,37.42297301,44.57649366,E09000010,Enfield,0.95354151,3.538675707,,49-53,H,Transport & Storage (inc. postal),Factory
77,Harrow,68 : Property,"Williams, Morley, Griffiths, Clarke, Young, Davies, Clark",0-632k,1,United Kingdom,0,2.450410356,2.761793366,E09000015,Harrow,0.072956612,0,,68,L,Property,Office
78,Ealing,86-88 : Health,"Johnson, Hunt-Walsh, Taylor-Kay, Briggs Hawkins, Todd, Morgan",0-632k,1,United Kingdom,0,7.771413594,6.552390231,E09000009,Ealing,1.517373469,0,,86-88,Q,Health,Office
79,North Warwickshire,86-88 : Health,"Bull-Smart, Herbert, Blackburn, McDonald Powell-Williams",0-632k,1,United Kingdom,0.104759742,36.00841745,43.36845551,E07000218,North Warwickshire,5.343332169,0.058445778,,86-88,Q,Health,Factory
80,Westminster,"69-75 : Professional, scientific & technical","Wilson, Cooper, Doyle, O'Brien, Lee-Chadwick",0-632k,1,United Kingdom,0,834.9156221,654.0301495,E09000033,Westminster,0.256946018,0.015126143,,69-75,M,"Professional, scientific & technical",Other
81,Windsor and Maidenhead,"69-75 : Professional, scientific & technical","Butler, Fuller, Taylor, Young, Howard",632k-10.2M,1,United Kingdom,0,5.917194088,3.882738192,E06000040,Windsor and Maidenhead,0.198223481,0,,69-75,M,"Professional, scientific & technical",Office
82,Doncaster,"69-75 : Professional, scientific & technical","Hill, Edwards, Metcalfe, Bailey-Smith, Gibson",632k-10.2M,0,United Kingdom,0,15.16240141,27.23266183,E08000017,Doncaster,1.105383657,0.090582744,,69-75,M,"Professional, scientific & technical",Warehouse
83,Bromsgrove,77-82 : Business administration & support services,"West, Reed, Harrison, Roberts, Vaughan",0-632k,1,United Kingdom,0,6.496688535,5.460861037,E07000234,Bromsgrove,0.343728935,0.088393582,,77-82,N,Business administration & support services,Warehouse
84,Angus,55-56 : Accommodation & food services,"Taylor, Jarvis, Begum, Davies, Williams, Knight, Dixon",0-632k,1,United Kingdom,,,,S12000041,Angus,,,,55-56,I,Accommodation & food services,Other
85,Wyre Forest,49-53 : Transport & Storage (inc. postal),"Davies-Hargreaves, Duffy-Bray, Jones, Hunt, Henderson-Davies",0-632k,1,United Kingdom,0.016385065,7.61496337,6.01330445,E07000239,Wyre Forest,0.243218975,0.899146485,,49-53,H,Transport & Storage (inc. postal),Warehouse
86,Central Bedfordshire,05-39 : Production,"Edwards-Hall, Lewis, Moore, Stanley, Brown, Moss, Carter",0-632k,0,United Kingdom,0,3.736621821,3.134792374,E06000056,Central Bedfordshire,11.25089117,0,,May-39,D,Production,Shop
87,Westminster,"69-75 : Professional, scientific & technical","Brennan, Grant, Morley, Kaur-Thompson, Wilson",0-632k,1,United Kingdom,0,3.334510363,3.512073,E09000033,Westminster,0.154031602,0,,69-75,M,"Professional, scientific & technical",Shop
88,Hillingdon,"69-75 : Professional, scientific & technical","Benson, King, Glover, Watkins-Farrell, Baxter, Cox, Harris",0-632k,1,United Kingdom,0,4.072940228,3.519400443,E09000017,Hillingdon,0.202258404,0,,69-75,M,"Professional, scientific & technical",Shop
89,Kirklees,58-63 : Information & communication,"Kelly, Dixon, Byrne, Oliver, Price, Brown, Hughes",0-632k,1,United Kingdom,0,16.90365928,31.02491676,E08000034,Kirklees,0.094564617,0.011945237,,58-63,J,Information & communication,Other
90,Wiltshire,47 : Retail,"Jones, White, Mitchell, Law, Davey, Warren, Smith",0-632k,1,United Kingdom,0,5.742020965,6.177120122,E06000054,Wiltshire,0.830088588,0,,47,G,Retail,Office
91,Stevenage,49-53 : Transport & Storage (inc. postal),"Pugh, Wilkinson, Barnett, Craig, Ellis-Murphy",0-632k,1,United Kingdom,0,60.17799536,99.19388827,E07000243,Stevenage,0.240056217,0.69918926,,49-53,H,Transport & Storage (inc. postal),Other
92,Camden,77-82 : Business administration & support services,"Bailey-Dean, Carroll, Reynolds, Robertson, Ball-Holland",0-632k,1,United Kingdom,0,104.4979839,150.5005485,E09000007,Camden,0.163267726,0.032584742,,77-82,N,Business administration & support services,Other
93,Enfield,49-53 : Transport & Storage (inc. postal),"Wallace, Lambert, Foster, Edwards-Douglas, Turner-North",0-632k,1,United Kingdom,0,1.909907974,1.983384278,E09000010,Enfield,0.067707602,0,,49-53,H,Transport & Storage (inc. postal),Shop
94,Buckinghamshire,47 : Retail,"Richardson-Bryant, Lowe, Rhodes, Holland Holmes",0-632k,1,United Kingdom,0,25.2788466,20.37548667,E10000002,Buckinghamshire,0.560798867,0.271381705,,47,G,Retail,Other
95,Angus,"69-75 : Professional, scientific & technical","Foster-Gardner, Fleming, Bradley, Turner, Griffiths, Wilson, Preston",0-632k,1,United Kingdom,,,,S12000041,Angus,,,,69-75,M,"Professional, scientific & technical",Shop
96,Trafford,77-82 : Business administration & support services,"Knight, Francis, Smith, Lawrence-Murray, Rogers",0-632k,1,United Kingdom,0,69.7429185,112.5803363,E08000009,Trafford,1.572541822,0.502977756,,77-82,N,Business administration & support services,Factory
97,Telford and Wrekin,05-39 : Production,"Taylor-Singh, Adams, Thomas, Hughes, Butler",632k-10.2M,1,United Kingdom,0,31.72784219,31.59664288,E06000020,Telford and Wrekin,10.21446841,0.046486741,,May-39,C,Production,Other
98,Dacorum,47 : Retail,"Oliver, Brookes, Webster, Noble-Dawson, Field-Howe",0-632k,1,United Kingdom,0,63.98758571,43.38767477,E07000096,Dacorum,0.438957973,0.0931093,,47,G,Retail,Other
99,Redbridge,47 : Retail,"Matthews, Palmer, Woodward, King-Powell, Lewis, Walker, Saunders",0-632k,1,United Kingdom,0,10.36737271,10.76690952,E09000026,Redbridge,1.390654188,0.248509739,,47,G,Retail,Warehouse
100,Basingstoke and Deane,"69-75 : Professional, scientific & technical","Simpson, Barker, Lynch, Godfrey-Smith, Warner",0-632k,1,United Kingdom,0,5.971529657,5.763599372,E07000084,Basingstoke and Deane,0.329104006,0,,69-75,M,"Professional, scientific & technical",Office
101,Cornwall,49-53 : Transport & Storage (inc. postal),"Smith, Gregory, Hill, Barrett-Mason, Armstrong",0-632k,1,United Kingdom,0.014268172,9.19117136,6.924395796,E06000052,Cornwall,0.240311825,0.584425057,,49-53,H,Transport & Storage (inc. postal),Warehouse
102,Arun,05-39 : Production,"Hill, Cooke, Morgan, McKenzie, Green",632k-10.2M,0,United Kingdom,0,1.619428684,1.958534977,E07000224,Arun,5.356197846,0,,May-39,D,Production,Shop
103,Birmingham,05-39 : Production,"Hutchinson, Benson-Cunningham, Short, Stewart, Parry",0-632k,1,United Kingdom,0,6.370938086,8.891720192,E08000025,Birmingham,8.099824025,0,,May-39,C,Production,Office
104,Mendip,"69-75 : Professional, scientific & technical","Jones, Miles-Allen, Khan, Pope, Lewis, Gibson, Lloyd",0-632k,1,United Kingdom,0,19.74842722,12.44332033,E07000187,Mendip,0.542611497,0.293372512,,69-75,M,"Professional, scientific & technical",Factory
105,Elmbridge,46 : Wholesale,"Singh, Thompson, Williams, Stone-Hayes, Walker-Phillips",0-632k,0,United Kingdom,0,4.455837236,6.877407989,E07000207,Elmbridge,0.61752369,0,,46,G,Wholesale,Office
106,Rother,55-56 : Accommodation & food services,"Burton, Barnes, Harris, Howard, Martin-Smith",632k-10.2M,1,United Kingdom,0,6.951390724,19.16423154,E07000064,Rother,1.070825415,0.015908899,,55-56,I,Accommodation & food services,Warehouse
107,Merton,77-82 : Business administration & support services,"Martin-Smith, Hancock, Murphy-Wade, Smith, Hope, Stewart, Law",0-632k,1,United Kingdom,0,2.592808539,1.35306939,E09000024,Merton,0.07323768,0,,77-82,N,Business administration & support services,Shop
108,Newcastle upon Tyne,47 : Retail,"Robinson, Wright-Wood, Brown-Smith, Hughes Horton, Chan, Harris",0-632k,1,United Kingdom,0,3.073801422,4.225564028,E08000021,Newcastle upon Tyne,0.302929133,0,,47,G,Retail,Shop
109,Huntingdonshire,55-56 : Accommodation & food services,"Sharp, Wilkinson, Abbott, Lee, Parker",0-632k,1,United Kingdom,0,5.274622551,2.770888051,E07000011,Huntingdonshire,0.860692243,0,,55-56,I,Accommodation & food services,Shop
110,Sefton,41-43 : Construction,"Hunt, Tucker, Davies, Hill, Jones-Brown",0-632k,1,United Kingdom,0,1.309158711,2.821251952,E08000014,Sefton,0.125598522,0,,41-43,F,Construction,Shop
111,East Hertfordshire,49-53 : Transport & Storage (inc. postal),"Bell, Stevens, Parry, Hicks, White",0-632k,1,United Kingdom,0,17.84512115,19.28118806,E07000242,East Hertfordshire,0.086918802,0.262346781,,49-53,H,Transport & Storage (inc. postal),Other
112,Wellingborough,86-88 : Health,"Smith, Browne, Simmons, Wright, Barry-Stone",0-632k,1,United Kingdom,0,3.750135671,2.301672381,E07000156,Wellingborough,1.607430735,0,,86-88,Q,Health,Shop
